Day fraction since midnight on	photometer (mg/L)	photometer (volts)
0.6767347805	0.5510686636	3.532670736
0.6767463467	0.5508106351	3.532809258
0.6767579127	0.5510730743	3.532668352
0.676769502	0.5506458879	3.532897711
0.6767810686	0.5510677695	3.532671213
0.6767926349	0.5508954525	3.53276372
0.6768042473	0.5508412719	3.532792807
0.6768157905	0.5509851575	3.532715559
start		
0.6768273568	0.5511756539	3.532613277
0.6768389458	0.5507955551	3.532817364
0.6768505355	0.5508745909	3.532774925
0.6768621014	0.5509238839	3.532748461
0.676873668	0.5509136319	3.532753944
0.6768852339	0.5510793328	3.532665014
0.6768968235	0.5510016084	3.532706738
0.6769083898	0.5573213696	3.529314995
0.6769199793	0.5962263942	3.508487463
0.6769315455	0.6365125179	3.487015009
0.6769431116	0.7377058268	3.43350029
0.6769546776	1.542143703	3.028783321
0.6769662672	1.561406612	3.019527674
0.6769778335	1.988729954	2.819205761
0.6769893998	2.813258171	2.4585042
0.6770009892	2.942173481	2.405030012
0.6770125551	3.016857147	2.374398947
0.6770241213	3.302926779	2.259388208
0.6770357107	3.980116367	2.001240015
0.6770472772	4.057200909	1.973064899
0.6770588666	4.755688191	1.72844553
0.6770704329	5.823506355	1.389250994
0.6770819991	5.893491268	1.368391156
0.6770935654	5.908330917	1.363988757
0.6771051547	5.92716074	1.3584131
0.6771167206	5.823583603	1.389227867
0.6771282872	5.823125362	1.389364958
0.6771398763	6.80550909	1.110848427
0.6771514428	6.63902998	1.155938149
0.6771630091	6.755215168	1.124382615
0.6771745984	6.799158573	1.112553239
0.6771861647	6.691912651	1.141524911
0.6771977309	6.572282791	1.174251199
0.67720932	7.043108463	1.047920942
0.6772208865	7.567752361	0.9147049785
0.6772324528	7.682560921	0.8865721822
0.6772440421	8.170988083	0.7708107829
0.6772556084	8.545064926	0.6862949133
0.6772671977	8.891803742	0.6110252738
0.6772787637	9.115217209	0.564037621
0.6772903302	8.747619629	0.6419736743
0.6773018965	9.350242615	0.5158481002
0.6773134859	9.825943947	0.4220703244
0.6773250518	9.456496239	0.4944706559
0.6773366184	9.543409348	0.4771704972
0.6773482077	10.16471386	0.3582388759
0.677359774	10.09740925	0.3707303405
0.6773713633	10.49738884	0.2978461087
0.6773829293	10.31082153	0.3314402997
0.6773945189	10.44758987	0.3067453206
0.6774060621	10.6394949	0.2727200091
0.6774176514	10.73589134	0.255899936
0.6774292409	10.97521877	0.2149089277
0.6774407839	11.19077301	0.1789091825
0.6774523733	11.28117657	0.1640651822
0.6774639396	11.4513216	0.136528194
0.6774755289	11.81530571	0.079335019
0.6774870952	12.01574135	0.0488119312
0.6774986615	12.33330059	0.0018205424
0.6775102277	12.15713978	0.0276837368
0.677521817	12.18897438	0.0229725
0.677533383	12.05474186	0.0429513045
0.6775449726	12.27816582	0.0098609729
0.6775565389	12.59581852	-0.0357960984
0.6775681051	12.70628643	-0.051300887
0.6775796714	12.83494282	-0.0691207051
0.6775912608	12.94854164	-0.0846449658
0.677602827	12.68096542	-0.0477636643
0.6776143933	12.8763628	-0.0748038068
0.6776259827	13.28733635	-0.1298000067
0.6776375489	13.44998074	-0.1508821994
0.6776491382	13.58606911	-0.1682323664
0.6776607045	13.79755783	-0.1946812868
0.6776722935	13.97482109	-0.2163771093
0.677683837	14.10967731	-0.2325993031
0.6776954263	14.20466232	-0.2438805997
0.6777069926	14.17144871	-0.2399493605
0.6777185585	14.2892704	-0.2538299859
0.6777301482	14.62986088	-0.2929500043
0.6777417145	14.76498127	-0.3080651164
0.6777532807	14.92112541	-0.3252524137
0.67776487	15.04272461	-0.3384326398
0.6777764363	15.08004475	-0.3424422145
0.6777880025	15.18759537	-0.3539050519
0.6777995916	15.17536831	-0.3526087403
0.6778111813	15.22520542	-0.3578813374
0.6778227244	15.33921146	-0.369833827
0.6778343138	15.36572838	-0.3725923598
0.67784588	15.58254433	-0.3948453963
0.6778574694	15.69166946	-0.4058447182
0.6778690357	15.76023197	-0.4126877189
0.6778806019	15.78581429	-0.4152277708
0.6778921681	15.85827732	-0.4223834872
0.6779037572	15.97016144	-0.4333196282
0.6779153238	15.94709587	-0.431076169
0.6779269131	16.02562523	-0.438690871
0.6779384793	16.12393379	-0.448130697
0.6779500457	16.15070534	-0.4506835341
0.6779616346	16.11263466	-0.4470508397
0.6779732009	16.17077446	-0.4525922537
0.6779847905	16.23798561	-0.4589538574
0.6779963568	16.31850815	-0.4665132165
0.6780079231	16.39004517	-0.4731726348
0.6780194893	16.48462868	-0.4818969369
0.6780310786	16.54213142	-0.4871562719
0.6780426446	16.61170769	-0.4934752584
0.6780542343	16.65422249	-0.4973124862
0.6780658006	16.74761963	-0.5056791902
0.6780773668	16.67494011	-0.4991759956
0.6780889327	16.76403236	-0.5071405172
0.6781005221	16.86979866	-0.5164940953
0.6781120883	16.92302895	-0.5211603045
0.6781236549	17.10078621	-0.5365443826
0.6781352442	17.0737381	-0.5342230201
0.6781468105	17.05245209	-0.5323911905
0.6781583998	17.0861969	-0.5352932215
0.6781699658	17.19334793	-0.5444359779
0.6781815324	17.19863319	-0.5448842049
0.6781930986	17.23119354	-0.54763937
0.678204688	17.19536018	-0.544606626
0.6782162543	17.24300003	-0.5486359596
0.6782278433	17.29689217	-0.5531684756
0.6782394098	17.37206268	-0.55944556
0.6782509761	17.40031624	-0.5617913604
0.6782625424	17.40642166	-0.562297225
0.6782741317	17.43281937	-0.5644809604
0.6782856979	17.49104118	-0.5692744255
0.6782972639	17.484478	-0.5687355995
0.6783088535	17.46761131	-0.5673490763
0.6783204198	17.48325539	-0.5686351657
0.6783319861	17.50885201	-0.5707346201
0.6783435755	17.52275085	-0.5718721151
0.6783551417	17.52508545	-0.572063148
0.6783667076	17.58063698	-0.576590836
0.678378297	17.61168861	-0.5791097283
0.6783898636	17.63618851	-0.5810908675
0.6784014295	17.66528511	-0.5834369063
0.6784130192	17.65842819	-0.5828846693
0.6784245854	17.70346451	-0.5865037441
0.6784361747	17.74485779	-0.5898139477
0.678447741	17.74497986	-0.5898237228
0.6784593072	17.75124359	-0.590323329
0.6784708966	17.74807167	-0.5900703669
0.6784824629	17.76548958	-0.5914583206
0.6784940291	17.7950325	-0.5938062668
0.6785055954	17.83444786	-0.5969270468
0.6785171844	17.84062576	-0.5974149108
0.6785287741	17.83016205	-0.5965883136
0.6785403169	17.82835007	-0.5964451432
0.6785519064	17.82843018	-0.5964514613
0.6785634728	17.85885429	-0.5988524556
0.6785750391	17.85601997	-0.5986291766
0.6785866281	17.85018349	-0.5981690884
0.6785981947	17.84803009	-0.5979991555
0.6786097611	17.84368896	-0.5976566076
0.6786213503	17.82532501	-0.5962059498
0.6786329166	17.82704353	-0.5963417888
0.6786444828	17.82533073	-0.5962063074
0.6786560722	17.8205719	-0.5958299637
0.6786676615	17.82324791	-0.5960416794
0.6786792047	17.81467438	-0.5953631997
0.6786907937	17.81813431	-0.5956370234
0.6787023603	17.81873131	-0.5956842899
0.6787139497	17.82441521	-0.5961339474
0.6787255159	17.81261635	-0.5952001214
0.6787370818	17.79343796	-0.5936798453
0.6787486481	17.79548836	-0.5938424468
0.6787602374	17.78180885	-0.592756331
0.678771804	17.76747894	-0.5916166902
0.6787833703	17.74467087	-0.5897991061
0.6787949596	17.74886513	-0.590133667
0.6788065259	17.73321342	-0.588884294
0.6788181152	17.71848679	-0.5877067447
0.6788296815	17.70227623	-0.5864083767
0.6788412708	17.62541389	-0.5802202821
0.678852814	17.61179924	-0.5791186094
0.6788644033	17.61508369	-0.5793845654
0.6788759927	17.62428093	-0.5801286697
0.6788875589	17.5816288	-0.5766715407
0.6788991249	17.57930946	-0.5764829516
0.6789106912	17.57908249	-0.5764645338
0.6789222577	17.5493412	-0.5740435719
0.6789338471	17.51161385	-0.5709608793
0.6789454134	17.50712585	-0.5705933571
0.6789569795	17.45860481	-0.5666076541
0.6789685686	17.43796921	-0.5649061203
0.6789801352	17.41201973	-0.5627608299
0.6789917014	17.38994217	-0.5609308481
0.6790032908	17.38374138	-0.5604161024
0.679014857	17.38384819	-0.5604249835
0.679026423	17.39608574	-0.5614405274
0.6790380123	17.34029388	-0.5567990541
0.6790495789	17.28605843	-0.5522594452
0.6790611683	17.26488495	-0.5504797697
0.6790727345	17.24337006	-0.5486672521
0.6790843235	17.18387794	-0.5436323881
0.6790958902	17.17861366	-0.5431852937
0.6791074563	17.17857361	-0.543181777
0.6791190226	17.15834045	-0.5414608121
0.6791306119	17.09165192	-0.5357612371
0.6791421782	17.01733589	-0.5293599367
0.6791537446	17.04987144	-0.5321689248
0.6791653338	17.06117821	-0.5331427455
0.6791768998	17.0230751	-0.5298561454
0.6791884663	17.00104332	-0.5279494524
0.6792000557	16.9480629	-0.523345232
0.6792116216	16.88239288	-0.5176005363
0.6792232113	16.85941315	-0.5155805349
0.6792347776	16.86514664	-0.516084969
0.6792463669	16.8861351	-0.5179290771
0.6792579101	16.8870945	-0.5180132389
0.6792694994	16.87228394	-0.516712606
0.6792810657	16.8159008	-0.5117413402
0.6792926319	16.77528191	-0.5081405044
0.6793042213	16.74324226	-0.5052888989
0.6793157872	16.69114876	-0.5006307364
0.6793273768	16.53996849	-0.4869589806
0.6793389428	16.4882164	-0.4822259545
0.6793505094	16.49330521	-0.4826925695
0.6793620987	16.4697628	-0.4805317819
0.6793736881	16.42661858	-0.4765570164
0.6793852312	16.35439301	-0.4698603749
0.6793967975	16.36944771	-0.471260637
0.6794083869	16.372015	-0.471499294
0.6794199531	16.31026077	-0.4657420814
0.6794315191	16.26320267	-0.4613284767
0.6794431087	16.27511597	-0.4624480009
0.6794546751	16.24300766	-0.4594273567
0.6794662643	16.20271111	-0.4556209743
0.6794778305	16.17670822	-0.4531558454
0.6794893968	16.21660233	-0.4569351077
0.6795009631	16.17711258	-0.4531942904
0.6795125521	16.09656906	-0.445513308
0.6795241187	16.03845978	-0.4399291277
0.6795356849	15.97942638	-0.4342192411
0.6795472743	15.9233675	-0.4287622869
0.6795588633	15.92014694	-0.4284476936
0.6795704296	15.77959824	-0.41461128
0.6795819962	15.69231319	-0.4059092104
0.6795935624	15.67005062	-0.403676182
0.6796051286	15.64898109	-0.4015577137
0.6796167177	15.63842773	-0.4004947841
0.6796283073	15.53783321	-0.3903000653
0.6796398505	15.46200848	-0.3825401366
0.6796514398	15.40869617	-0.377044946
0.6796630292	15.42250824	-0.3784718215
0.6796745952	15.41618443	-0.3778187633
0.6796861617	15.25918198	-0.361459285
0.679697728	15.21218205	-0.3565063179
0.6797092943	15.19938755	-0.3551535606
0.6797208833	15.26806831	-0.3623928726
0.6797324498	15.22779846	-0.3581548929
0.6797440161	15.19983101	-0.3552004397
0.6797556054	15.1788044	-0.3529732227
0.6797671714	15.07274342	-0.3416591287
0.6797787611	14.96010876	-0.3294971585
0.6797903273	14.94766426	-0.3281441629
0.6798018935	14.88182354	-0.320954293
0.6798134599	14.79509735	-0.3114033341
0.6798250492	14.79434395	-0.3113199472
0.6798366385	14.80441093	-0.3124334514
0.6798481814	14.78031826	-0.309766531
0.6798597711	14.61002636	-0.2907120585
0.679871337	14.58227253	-0.2875724137
0.6798829267	14.50509453	-0.2787905633
0.679894493	14.46099472	-0.2737387419
0.6799060588	14.47539234	-0.2753907144
0.6799176254	14.49445534	-0.2775740623
0.6799292147	14.39344788	-0.2659528852
0.6799407807	14.22729683	-0.2465514839
0.6799523473	14.16295528	-0.2389417738
0.6799639367	14.10421848	-0.2319473475
0.6799755029	14.11876774	-0.2336841077
0.6799870688	14.04527473	-0.2248823941
0.6799986584	14.02264404	-0.2221575826
0.6800102478	14.00162601	-0.2196209282
0.680021791	13.92312908	-0.2100943774
0.6800333804	13.85124493	-0.201297313
0.6800449466	13.87954617	-0.20476906
0.6800565125	13.8722105	-0.203870222
0.6800681022	13.81380272	-0.1966873407
0.6800796684	13.77480888	-0.1918659061
0.6800912344	13.6459322	-0.1757819653
0.6801028242	13.59820747	-0.1697672457
0.6801143903	13.57606983	-0.1669664085
0.6801259794	13.49842358	-0.1570882648
0.6801375459	13.45074844	-0.15098086
0.6801491122	13.40656757	-0.1452920437
0.6801607015	13.41161442	-0.1459433138
0.6801722675	13.38106442	-0.1419955045
0.6801838571	13.3656435	-0.1399977207
0.6801954234	13.34102821	-0.1368017197
0.6802069896	13.26408577	-0.1267550737
0.6802185787	13.13828754	-0.1101434156
0.6802301683	13.01206017	-0.0932405293
0.6802417115	12.98461342	-0.0895337537
0.6802533005	12.96089363	-0.0863212347
0.6802648668	12.9203825	-0.08081498
0.6802764333	12.91158104	-0.0796153843
0.6802879993	12.86960983	-0.0738789663
0.6802995889	12.75191498	-0.0576498359
0.6803111549	12.74708557	-0.0569794215
0.6803227216	12.76848125	-0.0599470697
0.6803343339	12.81978989	-0.0670350567
0.6803458771	12.76570892	-0.0595629402
0.6803574661	12.57594681	-0.0329867825
0.6803690327	12.52354813	-0.0255493503
0.6803805989	12.46930504	-0.0178044979
0.6803921652	12.35908222	-0.0019224252
0.6804037545	12.39068699	-0.0064962097
0.6804153205	12.29837227	0.0069084419
0.6804268871	12.26299572	0.0120819062
0.6804384764	12.17551899	0.0249617808
0.6804500427	12.18002224	0.0242956597
0.6804616089	12.23742962	0.0158332475
0.6804731983	12.19876862	0.0215262994
0.6804847646	12.08890629	0.0378380343
0.6804963539	12.06322956	0.0416791663
0.6805079201	12.02673435	0.0471574515
0.6805194864	11.91157722	0.0645897537
0.6805310526	11.84837532	0.0742522106
0.680542642	11.76582909	0.0869744569
0.6805542084	11.76777554	0.0866730735
0.6805657745	11.71510124	0.0948506445
0.6805773638	11.61984921	0.1097601801
0.6805889298	11.583601	0.1154754162
0.6806005195	11.53322124	0.1234571561
0.6806120857	11.41899204	0.1417205185
0.6806236517	11.2606144	0.1674283445
0.6806352183	11.21446037	0.1750054657
0.6806468076	11.22916889	0.1725865453
0.6806583966	11.22609615	0.1730915457
0.6806699398	11.25520325	0.1683147401
0.6806815294	11.31467247	0.1586029083
0.6806930957	11.35310936	0.1523598582
0.6807046619	11.19890308	0.1775681376
0.6807162513	11.0688467	0.1991664469
0.6807278407	11.04641533	0.2029230297
0.6807393838	11.05461788	0.2015483081
0.6807509732	11.08063793	0.1971952915
0.6807625391	11.0674696	0.1993967146
0.6807741057	10.9443388	0.2201368958
0.680785695	10.90649796	0.2265679687
0.680797261	10.87042713	0.2327233702
0.6808088272	10.85274124	0.2357504964
0.6808204169	10.80111122	0.2446211874
0.6808319828	10.8171978	0.2418518811
0.6808435494	10.75351429	0.2528441846
0.6808551384	10.67496681	0.2665096521
0.680866705	10.57418728	0.2842180431
0.6808782713	10.47792053	0.3013193905
0.6808898606	10.41836739	0.3119903505
0.6809014496	10.34763336	0.3247566819
0.6809129928	10.33135891	0.3277081847
0.6809245824	10.39167881	0.3167955279
0.6809361487	10.36995888	0.3207165003
0.680947715	10.31869888	0.3300079107
0.6809593274	10.27688599	0.33762604
0.6809708937	10.24349022	0.3437360525
0.6809824369	10.16650581	0.357907474
0.6809940262	10.0930357	0.3715452552
0.6810055921	10.02485561	0.3843007982
0.6810171818	9.969322205	0.39476192
0.6810287481	9.954566002	0.397552371
0.6810403143	9.900571823	0.4078021646
0.6810518805	9.900188446	0.4078751504
0.6810634696	9.913841248	0.4052776694
0.6810750593	9.813716888	0.4244193733
0.6810866024	9.707144737	0.4450285137
0.6810981918	9.667689323	0.4527205229
0.681109758	9.568836212	0.4721408784
0.6811213243	9.527976036	0.4802304804
0.6811329137	9.536916733	0.478457123
0.6811444796	9.491398811	0.4875032604
0.6811560692	9.518130302	0.4821852446
0.6811676355	9.457146645	0.494340539
0.6811792017	9.439946175	0.4977837503
0.681190768	9.365777969	0.512706697
0.6812023573	9.263205528	0.5335478783
0.6812139236	9.205873489	0.5453004837
0.6812254896	9.155312538	0.5557273626
0.6812370789	9.079079628	0.57155931
0.6812486455	9.055710793	0.5764392614
0.6812602345	9.036307335	0.5805009604
0.6812718011	9.075034142	0.5724031329
0.6812833901	9.068492889	0.5737684369
0.6812949564	9.061882019	0.5751493573
0.6813065229	9.003367424	0.5874159932
0.6813180892	8.870181084	0.615635097
0.6813296785	8.824942589	0.6253151894
0.6813412445	8.827285767	0.6248126626
0.681352811	8.730056763	0.6457772851
0.6813644004	8.697843552	0.6527732015
0.6813759667	8.695631027	0.6532545686
0.6813875329	8.684542656	0.6556689739
0.6813991224	8.568959236	0.6810147166
0.6814106885	8.548856735	0.6854560971
0.6814222548	8.577874184	0.6790482402
0.6814338442	8.553750038	0.6843742132
0.6814454101	8.459899902	0.7052294016
0.6814569995	8.437477112	0.7102444172
0.681468566	8.32530117	0.7355213165
0.6814801323	8.302138329	0.7407798171
0.6814916985	8.223051071	0.7588370442
0.6815032879	8.167123795	0.7717022896
0.6815148542	8.163808823	0.772467196
0.6815264201	8.156844139	0.7740755081
0.6815380097	8.110321045	0.7848505974
0.681549576	8.08999157	0.7895766497
0.6815611423	8.056573868	0.797368288
0.6815727317	7.983053207	0.8146124482
0.6815842979	7.944469452	0.8237186074
0.6815958638	7.938954353	0.8250234127
0.6816074535	7.873690605	0.8405247331
0.6816190194	7.765113354	0.8665637374
0.681630586	7.729495049	0.8751741648
0.6816421754	7.720263004	0.8774115443
0.6816537416	7.678634167	0.8875284791
0.6816653079	7.727660179	0.8756186962
0.6816768973	7.731723309	0.8746345639
0.6816884635	7.655199051	0.8932445049
0.6817000298	7.551228523	0.9187834859
0.6817116191	7.563259125	0.9158132672
0.6817231854	7.521933556	0.9260327816
0.6817347516	7.510940075	0.9287593365
0.6817463406	7.456103325	0.9424091578
0.6817579072	7.472814083	0.9382407069
0.6817694963	7.394207954	0.9579160213
0.6817810628	7.353108883	0.9682716727
0.6817926522	7.28083849	0.9865962863
0.6818042185	7.107707977	1.031096697
0.6818157847	6.999489307	1.059349418
0.6818273737	7.029327869	1.051525593
0.6818389172	7.053173065	1.045291781
0.6818505065	7.148133755	1.020629287
0.6818620959	7.112350464	1.029892206
0.6818736391	7.054941177	1.044830203
0.6818852285	6.994342327	1.060701728
0.6818967947	6.982486248	1.063819408
0.6819083609	6.945422173	1.073592424
0.68191995	6.860729694	1.096075177
0.6819315163	6.848908901	1.099230051
0.6819430828	6.823397636	1.106052756
0.6819546719	6.776955128	1.118523121
0.6819662385	6.705656529	1.137792826
0.6819778048	6.704341888	1.138149619
0.6819893941	6.68017292	1.144717336
0.6820009604	6.623503685	1.160185933
0.6820125265	6.616555214	1.162089229
0.6820241159	6.622971058	1.160331726
0.6820356821	6.566080093	1.175959826
0.6820472484	6.527990818	1.186478257
0.6820588375	6.460772514	1.205149531
0.6820704039	6.455717087	1.20655942
0.6820819703	6.403717995	1.221107125
0.6820935597	6.347471714	1.236937761
0.6821051259	6.216846943	1.274085641
0.6821166921	6.212572098	1.275310397
0.6821282815	6.265060902	1.260311604
0.6821398478	6.264710426	1.260411382
0.682151414	6.268857479	1.259230018
0.6821630034	6.153563976	1.29227674
0.6821745696	6.066957474	1.31738019
0.6821861359	5.949003696	1.351959825
0.6821977252	5.926531792	1.358599186
0.6822092912	5.933729649	1.356470823
0.6822208577	5.870070934	1.375353813
0.6822324471	5.893416882	1.36841321
0.6822440131	5.875017643	1.373881698
0.6822555793	5.906749725	1.364457488
0.682267169	5.875601769	1.373707891
0.6822787349	5.706876755	1.424375296
0.6822903246	5.659945965	1.438637734
0.6823018905	5.683942795	1.431335688
0.6823134571	5.693818092	1.428336501
0.6823250233	5.706858158	1.424380899
0.6823366128	5.701329708	1.42605722
0.682348179	5.665475369	1.436953545
0.682359768	5.530166626	1.47846663
0.6823713343	5.48336792	1.492970228
0.6823829236	5.373173714	1.527419686
0.6823944787	5.363008976	1.530618668
0.6824060677	5.3960495	1.520233512
0.682417634	5.380439282	1.525135279
0.6824292002	5.319653988	1.544303656
0.6824407668	5.337482452	1.538668156
0.6824523558	5.324954987	1.542626858
0.6824639221	5.310695648	1.547139645
0.6824754886	5.280930996	1.556582451
0.682487078	5.234477043	1.571382165
0.6824986443	5.125640392	1.606356621
0.6825102105	5.122313976	1.607432246
0.6825217998	5.16267395	1.594408512
0.6825333662	5.099375248	1.614860296
0.6825449324	5.028431416	1.637953401
0.6825565214	4.96182394	1.659800768
0.682568088	4.894445419	1.682065964
0.6825796773	4.852934361	1.695866346
0.6825912436	4.852632999	1.695966721
0.6826028099	4.839746952	1.700263739
0.6826143761	4.841347218	1.6997298
0.6826259655	4.819586277	1.706998944
0.6826375317	4.773804665	1.722349525
0.682649098	4.751778126	1.729762793
0.6826606875	4.729501724	1.737278581
0.6826722536	4.664266586	1.759395361
0.6826838429	4.648635387	1.764718533
0.6826954089	4.65265131	1.763350129
0.6827069754	4.631201267	1.770666719
0.6827185417	4.545753479	1.799986482
0.6827301308	4.549347878	1.798747659
0.682741697	4.557320595	1.796001315
0.6827532866	4.542588711	1.801077843
0.682764853	4.501999378	1.815107822
